set_num,name,num_parts,set_img_url,set_url,last_modified_dt
fig-008481,"Woman, White Top with Large Red Stripe and 2 Blue Stripes, Red Legs, Black Hair",4,https://cdn.rebrickable.com/media/sets/fig-008481/136702.jpg,https://rebrickable.com/minifigs/fig-008481/woman-white-top-with-large-red-stripe-and-2-blue-stripes-red-legs-black-hair/,2020-06-06T20:49:32.539176Z
fig-008482,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, Black Helmet, Airtanks",5,https://cdn.rebrickable.com/media/sets/fig-008482/136751.jpg,https://rebrickable.com/minifigs/fig-008482/fireman-classic-black-fire-jacket-with-red-belt-and-buttons-black-helmet-airtanks/,2020-06-04T18:43:26.054625Z
fig-008483,"Man, White Top with Large Red Stripe and 2 Blue Stripes, Red Legs, Red Helmet",4,https://cdn.rebrickable.com/media/sets/fig-008483/136703.jpg,https://rebrickable.com/minifigs/fig-008483/man-white-top-with-large-red-stripe-and-2-blue-stripes-red-legs-red-helmet/,2020-05-24T00:57:39.241593Z
fig-008484,"Doctor, Woman, White Jacket with Red Cross and Stethoscope, Black Hair (3626a Head)",4,https://cdn.rebrickable.com/media/sets/fig-008484/68361.jpg,https://rebrickable.com/minifigs/fig-008484/doctor-woman-white-jacket-with-red-cross-and-stethoscope-black-hair-3626a-head/,2022-06-29T14:30:59.641395Z
fig-008485,"Woman, Red and White Striped Shirt, Red Legs, Brown Hair (3626a Head)",4,https://cdn.rebrickable.com/media/sets/fig-008485/72928.jpg,https://rebrickable.com/minifigs/fig-008485/woman-red-and-white-striped-shirt-red-legs-brown-hair-3626a-head/,2022-06-26T10:41:04.770472Z
fig-008486,"Postal Worker, Red Shirt with Horn Logo, Black Legs, Black Hair",4,https://cdn.rebrickable.com/media/sets/fig-008486/136704.jpg,https://rebrickable.com/minifigs/fig-008486/postal-worker-red-shirt-with-horn-logo-black-legs-black-hair/,2020-05-24T01:00:27.552012Z
fig-008487,"Man, Red Overalls, Black Hair (3626a Head)",4,https://cdn.rebrickable.com/media/sets/fig-008487/136705.jpg,https://rebrickable.com/minifigs/fig-008487/man-red-overalls-black-hair-3626a-head/,2020-05-24T01:01:59.637295Z
fig-008488,"Man, White Shirt with Airplane, Blue Legs, Blue Cap",4,https://cdn.rebrickable.com/media/sets/fig-008488/70953.jpg,https://rebrickable.com/minifigs/fig-008488/man-white-shirt-with-airplane-blue-legs-blue-cap/,2020-05-24T01:02:34.684392Z
fig-008489,"Policeman, Black Suit with Badge, Black Hat",4,https://cdn.rebrickable.com/media/sets/fig-008489/70596.jpg,https://rebrickable.com/minifigs/fig-008489/policeman-black-suit-with-badge-black-hat/,2020-05-24T01:06:46.246125Z
fig-008490,"Man, White Shirt with Airplane, Blue Legs, Black Hair",4,https://cdn.rebrickable.com/media/sets/fig-008490/70954.jpg,https://rebrickable.com/minifigs/fig-008490/man-white-shirt-with-airplane-blue-legs-black-hair/,2020-05-24T01:07:22.265046Z
fig-008491,"Woman, White Top with Red Necklace, Blue Legs, Brown Hair",4,https://cdn.rebrickable.com/media/sets/fig-008491/72011.jpg,https://rebrickable.com/minifigs/fig-008491/woman-white-top-with-red-necklace-blue-legs-brown-hair/,2020-05-24T01:07:54.631394Z
fig-008492,"Woman, Red and White Striped Shirt, Red Legs, Red Hair",4,https://cdn.rebrickable.com/media/sets/fig-008492/118008.jpg,https://rebrickable.com/minifigs/fig-008492/woman-red-and-white-striped-shirt-red-legs-red-hair/,2020-06-05T21:31:05.551343Z
fig-008493,"Woman, Red Riding Jacket, Light Gray Legs, Black Hair",4,https://cdn.rebrickable.com/media/sets/fig-008493/138355.jpg,https://rebrickable.com/minifigs/fig-008493/woman-red-riding-jacket-light-gray-legs-black-hair/,2020-06-05T21:31:00.302398Z
fig-008494,"Pink Torso, Light Grey Legs, Black Hair",4,https://cdn.rebrickable.com/media/sets/fig-008494/111856.jpg,https://rebrickable.com/minifigs/fig-008494/pink-torso-light-grey-legs-black-hair/,2020-05-24T10:19:08.640117Z
fig-008495,"White Torso, Blue Legs, Black Hair",4,https://cdn.rebrickable.com/media/sets/fig-008495/70946.jpg,https://rebrickable.com/minifigs/fig-008495/white-torso-blue-legs-black-hair/,2020-05-24T10:19:48.877978Z
fig-008496,"White Torso, Light Grey Legs, Back Hair",4,https://cdn.rebrickable.com/media/sets/fig-008496/70956.jpg,https://rebrickable.com/minifigs/fig-008496/white-torso-light-grey-legs-back-hair/,2020-05-24T10:20:52.199400Z
fig-008497,"Medium Dark Pink Torso, Pink Legs, Black Hair",4,https://cdn.rebrickable.com/media/sets/fig-008497/141007.jpg,https://rebrickable.com/minifigs/fig-008497/medium-dark-pink-torso-pink-legs-black-hair/,2022-01-31T01:32:45.961151Z
fig-008498,"Blue Torso, Light Grey Legs, Blue Cap",4,https://cdn.rebrickable.com/media/sets/fig-008498/136482.jpg,https://rebrickable.com/minifigs/fig-008498/blue-torso-light-grey-legs-blue-cap/,2020-06-05T21:31:09.089872Z
fig-008499,"Man, White Top with Large Red Stripe and 2 Blue Stripes, Red Legs, Brown Hair (3626b Head)",4,https://cdn.rebrickable.com/media/sets/fig-008499/136460.jpg,https://rebrickable.com/minifigs/fig-008499/man-white-top-with-large-red-stripe-and-2-blue-stripes-red-legs-brown-hair-3626b-head/,2022-06-25T21:03:37.679988Z
fig-008500,"Blue Torso, Black Legs, Red Cap",4,https://cdn.rebrickable.com/media/sets/fig-008500/70845.jpg,https://rebrickable.com/minifigs/fig-008500/blue-torso-black-legs-red-cap/,2020-05-24T10:46:31.704275Z
fig-008501,"Red Torso, Green Legs, Reddish Brown Hair",4,,https://rebrickable.com/minifigs/fig-008501/red-torso-green-legs-reddish-brown-hair/,2022-02-06T14:53:40.877014Z
fig-008502,"Blue Torso, Orange Overall, Orange Cap",4,https://cdn.rebrickable.com/media/sets/fig-008502/94489.jpg,https://rebrickable.com/minifigs/fig-008502/blue-torso-orange-overall-orange-cap/,2020-05-24T10:48:18.729776Z
fig-008503,"Black Torso Suit, Black Legs, Reddish Brown Hair",4,https://cdn.rebrickable.com/media/sets/fig-008503/109581.jpg,https://rebrickable.com/minifigs/fig-008503/black-torso-suit-black-legs-reddish-brown-hair/,2020-05-24T10:48:57.747120Z
fig-008504,"Astronaut - White Torso and Legs, Orange Trim",5,https://cdn.rebrickable.com/media/sets/fig-008504/128734.jpg,https://rebrickable.com/minifigs/fig-008504/astronaut-white-torso-and-legs-orange-trim/,2020-05-27T21:22:41.129197Z
fig-008505,"Astronaut, Woman, Orange Torso and Legs, White Helmet, Trans-Light Blue Visor",6,https://cdn.rebrickable.com/media/sets/fig-008505/77441.jpg,https://rebrickable.com/minifigs/fig-008505/astronaut-woman-orange-torso-and-legs-white-helmet-trans-light-blue-visor/,2020-05-27T21:25:18.783694Z
fig-008506,"Technician - Dark Blue Torso, Dark Blue Legs, White Helmet",4,https://cdn.rebrickable.com/media/sets/fig-008506/106014.jpg,https://rebrickable.com/minifigs/fig-008506/technician-dark-blue-torso-dark-blue-legs-white-helmet/,2020-05-27T21:39:43.901747Z
fig-008507,"Launch Director - Black Torso, Dark Bluish Grey Legs, Reddish Brown Hair",4,https://cdn.rebrickable.com/media/sets/fig-008507/105986.jpg,https://rebrickable.com/minifigs/fig-008507/launch-director-black-torso-dark-bluish-grey-legs-reddish-brown-hair/,2020-05-27T21:39:49.282219Z
