inventory_id,setnum,num_parts,set_img_url,quantity
1159,71000-12,6,https://cdn.rebrickable.com/media/sets/71000-12.jpg,1
1159,71000-13,6,https://cdn.rebrickable.com/media/sets/71000-13.jpg,1
1159,71000-14,6,https://cdn.rebrickable.com/media/sets/71000-14.jpg,1
1159,71000-15,7,https://cdn.rebrickable.com/media/sets/71000-15.jpg,1
1159,71000-16,6,https://cdn.rebrickable.com/media/sets/71000-16.jpg,1
1159,71000-2,6,https://cdn.rebrickable.com/media/sets/71000-2.jpg,1
1159,71000-3,6,https://cdn.rebrickable.com/media/sets/71000-3.jpg,1
1159,71000-4,10,https://cdn.rebrickable.com/media/sets/71000-4.jpg,1
1159,71000-5,6,https://cdn.rebrickable.com/media/sets/71000-5.jpg,1
1159,71000-6,7,https://cdn.rebrickable.com/media/sets/71000-6.jpg,1
1159,71000-7,5,https://cdn.rebrickable.com/media/sets/71000-7.jpg,1
1159,71000-8,7,https://cdn.rebrickable.com/media/sets/71000-8.jpg,1
1159,71000-9,7,https://cdn.rebrickable.com/media/sets/71000-9.jpg,1
1201,20206-1,229,https://cdn.rebrickable.com/media/sets/20206-1.jpg,1
1201,20207-1,220,https://cdn.rebrickable.com/media/sets/20207-1.jpg,1
1201,20208-1,183,https://cdn.rebrickable.com/media/sets/20208-1.jpg,1
1203,5928-1,70,https://cdn.rebrickable.com/media/sets/5928-1.jpg,1
1203,5938-1,81,https://cdn.rebrickable.com/media/sets/5938-1.jpg,1
1203,5988-1,720,https://cdn.rebrickable.com/media/sets/5988-1.jpg,1
1205,7239-1,216,https://cdn.rebrickable.com/media/sets/7239-1.jpg,1
1205,7733-1,343,https://cdn.rebrickable.com/media/sets/7733-1.jpg,1
1238,6800-1,20,https://cdn.rebrickable.com/media/sets/6800-1.jpg,1
1238,6818-1,36,https://cdn.rebrickable.com/media/sets/6818-1.jpg,1
1238,6836-1,40,https://cdn.rebrickable.com/media/sets/6836-1.jpg,1
1255,8621-1,180,https://cdn.rebrickable.com/media/sets/8621-1.jpg,1
1255,8622-1,170,https://cdn.rebrickable.com/media/sets/8622-1.jpg,1
1255,8623-1,213,https://cdn.rebrickable.com/media/sets/8623-1.jpg,1
1268,6837-1,59,https://cdn.rebrickable.com/media/sets/6837-1.jpg,1
1268,6905-1,114,https://cdn.rebrickable.com/media/sets/6905-1.jpg,1
1269,8615-1,32,https://cdn.rebrickable.com/media/sets/8615-1.jpg,1
1269,8617-1,32,https://cdn.rebrickable.com/media/sets/8617-1.jpg,1
1269,8619-1,32,https://cdn.rebrickable.com/media/sets/8619-1.jpg,1
1289,8593-1,199,https://cdn.rebrickable.com/media/sets/8593-1.jpg,1
1289,8596-1,199,https://cdn.rebrickable.com/media/sets/8596-1.jpg,1
1315,3740-1,66,https://cdn.rebrickable.com/media/sets/3740-1.jpg,1
1315,3746-1,106,https://cdn.rebrickable.com/media/sets/3746-1.jpg,1
1317,3740-1,66,https://cdn.rebrickable.com/media/sets/3740-1.jpg,1
1317,3742-1,41,https://cdn.rebrickable.com/media/sets/3742-1.jpg,1
1317,3745-1,106,https://cdn.rebrickable.com/media/sets/3745-1.jpg,1
1323,6239-1,45,https://cdn.rebrickable.com/media/sets/6239-1.jpg,1
1323,6240-1,78,https://cdn.rebrickable.com/media/sets/6240-1.jpg,1
1323,6241-1,145,https://cdn.rebrickable.com/media/sets/6241-1.jpg,1
1323,6242-1,371,https://cdn.rebrickable.com/media/sets/6242-1.jpg,1
1323,6243-1,596,https://cdn.rebrickable.com/media/sets/6243-1.jpg,1
1323,8396-1,17,https://cdn.rebrickable.com/media/sets/8396-1.jpg,1
1323,8397-1,16,https://cdn.rebrickable.com/media/sets/8397-1.jpg,1
1334,850842-1,34,https://cdn.rebrickable.com/media/sets/850842-1.jpg,1
1334,850849-1,29,https://cdn.rebrickable.com/media/sets/850849-1.jpg,1
1334,850850-1,23,https://cdn.rebrickable.com/media/sets/850850-1.jpg,1
1334,850851-1,26,https://cdn.rebrickable.com/media/sets/850851-1.jpg,1
1334,850949-1,45,https://cdn.rebrickable.com/media/sets/850949-1.jpg,1
1334,850950-1,34,https://cdn.rebrickable.com/media/sets/850950-1.jpg,1
1347,8202-1,71,https://cdn.rebrickable.com/media/sets/8202-1.jpg,2
1347,8213-1,93,https://cdn.rebrickable.com/media/sets/8213-1.jpg,1
1347,8226-1,121,https://cdn.rebrickable.com/media/sets/8226-1.jpg,1
1347,8248-1,227,https://cdn.rebrickable.com/media/sets/8248-1.jpg,1
1371,6611-1,20,https://cdn.rebrickable.com/media/sets/6611-1.jpg,1
1371,6623-1,40,https://cdn.rebrickable.com/media/sets/6623-1.jpg,1
1371,6624-1,41,https://cdn.rebrickable.com/media/sets/6624-1.jpg,1
1373,1294-1,31,https://cdn.rebrickable.com/media/sets/1294-1.jpg,1
1373,1295-1,30,https://cdn.rebrickable.com/media/sets/1295-1.jpg,1
1373,1296-1,31,https://cdn.rebrickable.com/media/sets/1296-1.jpg,1
1373,1297-1,34,https://cdn.rebrickable.com/media/sets/1297-1.jpg,1
1418,5613-1,25,https://cdn.rebrickable.com/media/sets/5613-1.jpg,1
1418,7239-1,216,https://cdn.rebrickable.com/media/sets/7239-1.jpg,1
1418,7241-1,47,https://cdn.rebrickable.com/media/sets/7241-1.jpg,1
1418,7906-1,188,https://cdn.rebrickable.com/media/sets/7906-1.jpg,1
1418,7942-1,130,https://cdn.rebrickable.com/media/sets/7942-1.jpg,1
