inventory_id,fig_num,quantity,set_num,set_url,last_modified
5754,fig-003990,1,fig-003990,https://rebrickable.com/minifigs/fig-003990/clone-pilot-501st-legion-blue-markings/,2020-06-22 17:52:19.459393+00:00
5754,fig-003991,1,fig-003991,https://rebrickable.com/minifigs/fig-003991/pong-krell/,2020-04-20 22:06:43.285456+00:00
5756,fig-006414,1,fig-006414,https://rebrickable.com/minifigs/fig-006414/soccer-player-goalie-green-torso-black-legs-blue-cap/,2020-05-01 15:33:15.365676+00:00
5756,fig-006415,1,fig-006415,https://rebrickable.com/minifigs/fig-006415/soccer-player-blue-torso-white-legs-brown-hair-mustache/,2020-05-01 15:35:20.411294+00:00
5756,fig-006416,1,fig-006416,https://rebrickable.com/minifigs/fig-006416/soccer-player-blue-torso-white-legs-tan-hair/,2020-05-01 15:34:32.665177+00:00
5756,fig-006417,1,fig-006417,https://rebrickable.com/minifigs/fig-006417/soccer-player-blue-torso-white-legs-black-hair-mustache/,2020-05-01 15:35:14.581687+00:00
5756,fig-006418,1,fig-006418,https://rebrickable.com/minifigs/fig-006418/soccer-player-plain-blue-torso-and-white-legs-brown-hair-3626b-head/,2022-06-26 07:05:03.477723+00:00
5756,fig-006419,1,fig-006419,https://rebrickable.com/minifigs/fig-006419/soccer-player-blue-torso-white-legs-black-hair-freckles/,2020-05-01 15:36:16.062189+00:00
5757,fig-004692,1,fig-004692,https://rebrickable.com/minifigs/fig-004692/racer-white-torso-with-redblue-stripes-white-legs-white-helmet/,2020-04-23 14:21:25.913085+00:00
5757,fig-004693,1,fig-004693,https://rebrickable.com/minifigs/fig-004693/man-white-torso-blue-overall-green-cap/,2020-04-23 14:21:57.427902+00:00
5760,fig-006461,1,fig-006461,https://rebrickable.com/minifigs/fig-006461/legoland-black-torso-black-legs-black-cowboy-hat/,2020-05-01 20:57:35.514257+00:00
5760,fig-006462,1,fig-006462,https://rebrickable.com/minifigs/fig-006462/legoland-female-black-torso-black-legs-white-hair/,2020-05-01 20:58:25.053575+00:00
5760,fig-006463,1,fig-006463,https://rebrickable.com/minifigs/fig-006463/legoland-blue-torso-blue-legs-blue-cowboy-hat/,2020-05-01 21:03:07.321620+00:00
5760,fig-006464,1,fig-006464,https://rebrickable.com/minifigs/fig-006464/legoland-blue-torso-yellow-legs-red-cowboy-hat/,2020-05-01 21:01:48.337988+00:00
5760,fig-006465,1,fig-006465,https://rebrickable.com/minifigs/fig-006465/legoland-red-torso-blue-legs-blue-cowboy-hat/,2020-05-01 21:02:25.282316+00:00
5760,fig-006466,1,fig-006466,https://rebrickable.com/minifigs/fig-006466/legoland-red-torso-blue-legs-white-cowboy-hat/,2020-05-01 21:03:50.466869+00:00
5760,fig-006467,1,fig-006467,https://rebrickable.com/minifigs/fig-006467/legoland-white-torso-red-legs-black-cowboy-hat/,2020-05-01 21:04:29.385113+00:00
5760,fig-006468,1,fig-006468,https://rebrickable.com/minifigs/fig-006468/legoland-female-black-torso-white-legs-red-hair/,2020-05-01 21:08:24.989456+00:00
5762,fig-003851,1,fig-003851,https://rebrickable.com/minifigs/fig-003851/2-1b-medical-droid-pearl-dark-gray/,2020-06-19 23:46:03.965051+00:00
5762,fig-003852,1,fig-003852,https://rebrickable.com/minifigs/fig-003852/emperor-palpatine-light-bluish-gray-skin-black-hands/,2020-06-20 17:35:24.135117+00:00
5762,fig-003853,1,fig-003853,https://rebrickable.com/minifigs/fig-003853/anakin-skywalker-transformation-white-pupils-darth-vader-helmet/,2020-06-20 00:17:07.920918+00:00
5762,fig-003854,1,fig-003854,https://rebrickable.com/minifigs/fig-003854/clone-pilot-open-helmet-white-head-episode-3/,2020-06-22 21:00:53.406016+00:00
5766,fig-004379,1,fig-004379,https://rebrickable.com/minifigs/fig-004379/viking-warrior-chain-mail-red-band/,2020-04-22 13:06:00.343934+00:00
5766,fig-004381,1,fig-004381,https://rebrickable.com/minifigs/fig-004381/viking-warrior-armour-sand-blue-arms/,2020-04-22 13:08:17.355122+00:00
5768,fig-008718,1,fig-008718,https://rebrickable.com/minifigs/fig-008718/man-green-jacket-green-legs-red-cap-sunglasses/,2020-05-28 20:18:05.083760+00:00
5769,fig-004386,1,fig-004386,https://rebrickable.com/minifigs/fig-004386/woman-redwhite-striped-shirt-red-arms-red-legs-3626b-head/,2022-06-26 08:36:26.979304+00:00
5769,fig-008201,1,fig-008201,https://rebrickable.com/minifigs/fig-008201/man-white-jacket-with-zipper-white-legs-black-hair/,2020-05-18 23:12:14.832947+00:00
5769,fig-008202,1,fig-008202,https://rebrickable.com/minifigs/fig-008202/man-white-jacket-with-zipper-white-legs-brown-hair/,2020-05-18 23:12:37.626601+00:00
5769,fig-008203,2,fig-008203,https://rebrickable.com/minifigs/fig-008203/man-white-jacket-with-zipper-white-legs-blue-helmet-with-visor-3626b-head/,2022-07-06 08:30:16.965519+00:00
5781,fig-005676,1,fig-005676,https://rebrickable.com/minifigs/fig-005676/vardy-with-12825-tile-with-clip/,2020-04-27 06:26:32.112348+00:00
5781,fig-005677,1,fig-005677,https://rebrickable.com/minifigs/fig-005677/lundor-with-shoulder-armor-and-fire-chi/,2020-04-27 03:50:54.717601+00:00
5783,fig-000556,1,fig-000556,https://rebrickable.com/minifigs/fig-000556/soccer-player-coca-cola-forward-1/,2020-05-04 17:33:42.426816+00:00
5784,fig-000695,1,fig-000695,https://rebrickable.com/minifigs/fig-000695/robot-cmf/,2020-05-08 05:58:42.676573+00:00
5786,fig-000114,1,fig-000114,https://rebrickable.com/minifigs/fig-000114/spyrius/,2020-05-04 20:18:43.446768+00:00
5789,fig-001260,1,fig-001260,https://rebrickable.com/minifigs/fig-001260/lake-town-guard/,2020-04-26 16:02:15.408283+00:00
5795,fig-000720,1,fig-000720,https://rebrickable.com/minifigs/fig-000720/man-blue-overalls-blue-cap-3626a-head/,2021-01-27 20:08:30.163598+00:00
5799,fig-005949,1,fig-005949,https://rebrickable.com/minifigs/fig-005949/policeman-black-jacket-with-zipper-and-badge-white-helmet-with-trans-light-blue-visor/,2020-05-16 05:35:02.420954+00:00
5804,fig-000705,1,fig-000705,https://rebrickable.com/minifigs/fig-000705/racer-red-jacket-with-octan-logo-and-racing-red-legs-red-helmet-with-visor-sunglasses/,2020-05-25 21:05:33.864549+00:00
